symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
LUMAXIND,2025-11-07,2025-11-07,4590.70,2025-11-14,4897.40,6.68%,66.81,1000.00,
MOTHERSON,2025-11-10,2025-11-10,102.75,2025-11-17,109.95,7.01%,70.07,1000.00,
MARUTI,2025-11-10,2025-11-10,15583.00,2025-11-17,15878.00,1.89%,18.93,1000.00,
VERTOZ,2025-11-10,2025-11-10,68.29,2025-11-17,70.62,3.41%,34.12,1000.00,
YATHARTH,2025-11-11,2025-11-11,758.60,2025-11-18,777.10,2.44%,24.39,1000.00,
TFCILTD,2025-11-12,2025-11-12,68.56,2025-11-19,65.23,-4.86%,-48.57,1000.00,
SIGMA,2025-11-19,2025-11-19,49.75,2025-11-26,53.84,8.22%,82.21,1000.00,
GMBREW,2025-11-21,2025-11-21,1031.20,2025-11-28,1020.50,-1.04%,-10.38,1000.00,
HINDALCO,2025-11-24,2025-11-24,774.65,2025-12-01,810.80,4.67%,46.67,1000.00,
HINDCOPPER,2025-11-24,2025-11-24,313.30,2025-12-01,339.30,8.30%,82.99,1000.00,
JAYNECOIND,2025-11-24,2025-11-24,70.21,2025-12-01,70.62,0.58%,5.84,1000.00,
SMSPHARMA,2025-11-24,2025-11-24,271.55,2025-12-01,314.05,15.65%,156.51,1000.00,
TERASOFT,2025-11-24,2025-11-24,462.75,2025-12-01,495.90,7.16%,71.64,1000.00,
CNXMNC,2025-11-24,,,,,,,1000.00,no price data
MON100,2025-11-24,2025-11-24,230.35,2025-12-01,233.22,1.25%,12.46,1000.00,
JAYNECOIND,2025-11-25,2025-11-25,70.35,2025-12-02,68.43,-2.73%,-27.29,1000.00,
CHOICEIN,2025-11-25,2025-11-25,780.25,2025-12-02,784.70,0.57%,5.70,1000.00,
SMSPHARMA,2025-11-25,2025-11-25,273.55,2025-12-02,311.50,13.87%,138.73,1000.00,
CNXMNC,2025-11-25,,,,,,,1000.00,no price data
HNGSNGBEES,2025-11-25,2025-11-25,503.01,2025-12-02,520.32,3.44%,34.41,1000.00,
PAYTM,2025-11-25,2025-11-25,1241.40,2025-12-02,1364.20,9.89%,98.92,1000.00,
SUMEETINDS,2025-11-26,2025-11-26,30.87,2025-12-03,30.60,-0.87%,-8.75,1000.00,
AAREYDRUGS,2025-11-26,2025-11-26,90.26,2025-12-03,79.71,-11.69%,-116.88,1000.00,
AAREYDRUGS,2025-11-27,2025-11-27,88.19,2025-12-04,78.83,-10.61%,-106.13,1000.00,
AAREYDRUGS,2025-11-28,2025-11-28,87.69,2025-12-05,75.62,-13.76%,-137.64,1000.00,
