symbol,signal_date,entry_date,entry_price,exit_date,exit_price,return_pct,profit,investment,note
GSEC5IETF,2025-08-28,2025-08-28,62.43000030517578,2025-09-04,62.720001220703125,0.004645217269097164,4.645217269097164,1000.0,
GSEC5IETF,2025-09-01,2025-09-01,62.33000183105469,2025-09-08,62.849998474121094,0.008342638020063851,8.342638020063852,1000.0,
GLENMARK,2025-09-01,2025-09-01,1922.0855712890625,2025-09-08,2046.87939453125,0.06492625776202747,64.92625776202748,1000.0,
PFOCUS,2025-09-01,2025-09-01,141.6300048828125,2025-09-08,174.1999969482422,0.22996533885866027,229.96533885866026,1000.0,
GAYAHWS,2025-09-01,2025-09-01,1.7400000095367432,2025-09-08,2.1600000858306885,0.24137935286894965,241.37935286894967,1000.0,
SETF10GILT,2025-09-01,2025-09-01,255.7899932861328,2025-09-08,258.7300109863281,0.011493873010530706,11.493873010530706,1000.0,
EBBETF0431,2025-09-01,2025-09-01,1364.97998046875,2025-09-08,1368.8199462890625,0.002813203032467781,2.813203032467781,1000.0,
GILT5YBEES,2025-09-01,2025-09-01,62.36000061035156,2025-09-08,62.54999923706055,0.003046802835942327,3.046802835942327,1000.0,
EBBETF0433,2025-09-02,2025-09-02,1245.989990234375,2025-09-09,1246.56005859375,0.00045752242300740165,0.45752242300740165,1000.0,
BLUECOAST,2025-09-02,2025-09-02,53.939998626708984,2025-09-09,62.22999954223633,0.15368930527600086,153.68930527600085,1000.0,
LTGILTBEES,2025-09-02,2025-09-02,28.579999923706055,2025-09-09,28.84000015258789,0.009097278851501163,9.097278851501164,1000.0,
EBBETF0431,2025-09-02,2025-09-02,1364.22998046875,2025-09-09,1365.969970703125,0.0012754376163006905,1.2754376163006906,1000.0,
PFOCUS,2025-09-03,,,,,,,1000.0,no price data
ANURAS,2025-09-03,2025-09-03,1105.800048828125,2025-09-10,1097.0,-0.007958083233447927,-7.958083233447927,1000.0,
ANURAS,2025-09-04,2025-09-04,1102.0,2025-09-11,1095.4000244140625,-0.005989088553482305,-5.989088553482305,1000.0,
FORCEMOT,2025-09-08,2025-09-08,16992.484375,2025-09-15,18780.0,0.10519448395844118,105.19448395844118,1000.0,
MANGCHEFER,2025-09-08,2025-09-08,323.5,2025-09-15,305.8500061035156,-0.054559486542455564,-54.559486542455566,1000.0,
MBAPL,2025-09-08,2025-09-08,407.3999938964844,2025-09-15,431.0,0.05792834181905293,57.92834181905293,1000.0,
POWERINDIA,2025-09-08,2025-09-08,18851.0,2025-09-15,20180.0,0.07050023871412657,70.50023871412657,1000.0,
MANGCHEFER,2025-09-09,2025-09-09,324.95001220703125,2025-09-16,307.79998779296875,-0.05277742351071501,-52.77742351071501,1000.0,
RADICO,2025-09-09,2025-09-09,2757.699951171875,2025-09-16,2994.39990234375,0.08583238037600507,85.83238037600508,1000.0,
POWERINDIA,2025-09-09,2025-09-09,18846.0,2025-09-16,19978.0,0.06006579645548127,60.06579645548127,1000.0,
MANGCHEFER,2025-09-10,2025-09-10,325.29998779296875,2025-09-17,306.70001220703125,-0.05717791664282237,-57.17791664282237,1000.0,
ANURAS,2025-09-10,2025-09-10,1097.0,2025-09-17,1104.800048828125,0.007110345331016408,7.110345331016409,1000.0,
SUDARSCHEM,2025-09-11,2025-09-11,1375.3892822265625,2025-09-18,1429.3240966796875,0.03921421749470964,39.21421749470964,1000.0,
ANURAS,2025-09-11,2025-09-11,1095.4000244140625,2025-09-18,1086.800048828125,-0.007850990865677303,-7.850990865677303,1000.0,
JKCEMENT,2025-09-12,2025-09-12,6555.0,2025-09-19,6862.0,0.04683447749809306,46.83447749809306,1000.0,
STEELCAS,2025-09-15,2025-09-15,204.69688415527344,2025-09-22,220.81907653808594,0.07876129844059064,78.76129844059064,1000.0,
BLUECOAST,2025-09-15,2025-09-15,51.400001525878906,2025-09-22,65.58000183105469,0.27587548412885604,275.87548412885604,1000.0,
JKCEMENT,2025-09-15,2025-09-15,6475.0,2025-09-22,6859.5,0.05938223938223938,59.38223938223938,1000.0,
VERTOZ,2025-09-16,2025-09-16,74.05999755859375,2025-09-23,77.98999786376953,0.05306508823560923,53.06508823560923,1000.0,
DATAMATICS,2025-09-18,2025-09-18,888.0999755859375,2025-09-25,877.2999877929688,-0.012160779292717909,-12.160779292717908,1000.0,
HCG,2025-09-19,2025-09-19,647.4500122070312,2025-09-26,647.4000244140625,-7.720718515140856e-05,-0.07720718515140856,1000.0,
ZUARIIND,2025-09-22,2025-09-22,286.54998779296875,2025-09-29,363.6000061035156,0.26888857648884357,268.88857648884357,1000.0,
KRISHANA,2025-09-23,2025-09-23,535.0999755859375,2025-09-30,450.70001220703125,-0.15772746632344323,-157.72746632344322,1000.0,
MCL,2025-09-24,2025-09-24,46.91999816894531,2025-10-01,60.16999816894531,0.28239557794291875,282.39557794291875,1000.0,
FORCEMOT,2025-09-26,2025-09-26,17372.0,,,,,1000.0,no exit (insufficient data)
NESCO,2025-09-26,2025-09-26,1369.199951171875,,,,,1000.0,no exit (insufficient data)
KRISHANA,2025-09-26,2025-09-26,530.4500122070312,,,,,1000.0,no exit (insufficient data)
TI,2025-09-29,2025-09-29,447.0,2025-10-07,467.0,0.0447427293064877,44.742729306487696,1000.0,
ASTRAMICRO,2025-09-29,2025-09-29,996.7999877929688,2025-10-07,1115.550048828125,0.11913128259369536,119.13128259369536,1000.0,
ENDURANCE,2025-09-29,2025-09-29,2735.5,2025-10-07,2951.0,0.07877901663315665,78.77901663315664,1000.0,
VERTOZ,2025-09-29,2025-09-29,73.56999969482422,2025-10-07,71.8499984741211,-0.02337911142908609,-23.37911142908609,1000.0,
ANANDRATHI,2025-09-29,2025-09-29,2806.36328125,2025-10-07,2908.565185546875,0.03641791673220318,36.41791673220318,1000.0,
SARDAEN,2025-09-30,2025-09-30,539.4000244140625,2025-10-08,561.6500244140625,0.041249534655045016,41.24953465504502,1000.0,
TI,2025-09-30,2025-09-30,448.54998779296875,2025-10-08,468.6000061035156,0.04469962959803066,44.699629598030654,1000.0,
ASTRAMICRO,2025-09-30,2025-09-30,983.9000244140625,2025-10-08,1123.9000244140625,0.142290879689096,142.29087968909602,1000.0,
HDFCAMC,2025-09-30,2025-09-30,2766.25,2025-10-08,2737.75,-0.010302756439222774,-10.302756439222774,1000.0,
CUMMINSIND,2025-10-01,2025-10-01,3849.0,2025-10-09,3957.199951171875,0.028111185027766952,28.111185027766954,1000.0,
HDFCAMC,2025-10-01,2025-10-01,2777.75,2025-10-09,2739.5,-0.013770137701377014,-13.770137701377013,1000.0,
KALYANIFRG,2025-10-06,2025-10-06,670.2999877929688,2025-10-13,770.2999877929688,0.149186933941712,149.186933941712,1000.0,
KRISHANA,2025-10-06,2025-10-06,489.25,2025-10-13,576.9000244140625,0.17915181280339806,179.15181280339806,1000.0,
BOSCHLTD,2025-10-08,2025-10-08,38350.0,2025-10-15,38380.0,0.0007822685788787483,0.7822685788787483,1000.0,
VERTOZ,2025-10-10,2025-10-10,70.73999786376953,2025-10-17,68.5999984741211,-0.030251617956924874,-30.251617956924875,1000.0,
SHREERAMA,2025-10-14,2025-10-14,55.310001373291016,2025-10-21,59.84000015258789,0.08190198276661757,81.90198276661758,1000.0,
APOLLO,2025-10-15,2025-10-15,291.1499938964844,2025-10-23,289.5,-0.005667161020346834,-5.667161020346834,1000.0,
APOLLO,2025-10-16,2025-10-16,293.45001220703125,2025-10-24,291.1499938964844,-0.007837853858817339,-7.837853858817339,1000.0,
APOLLO,2025-10-17,2025-10-17,293.6499938964844,,,,,1000.0,no exit (insufficient data)
APOLLO,2025-10-20,2025-10-20,288.8500061035156,2025-10-28,276.29998779296875,-0.04344821895572094,-43.44821895572094,1000.0,
GSEC10IETF,2025-10-21,2025-10-21,255.99000549316406,2025-10-29,258.70001220703125,0.010586377029237398,10.586377029237399,1000.0,
CREDITACC,2025-10-21,2025-10-21,1295.699951171875,2025-10-29,1403.699951171875,0.08335263106425306,83.35263106425306,1000.0,
MAHKTECH,2025-10-21,2025-10-21,26.219999313354492,,,,,1000.0,no exit (insufficient data)
APOLLO,2025-10-23,2025-10-23,289.5,2025-10-30,281.3500061035156,-0.02815196510011874,-28.15196510011874,1000.0,
AIIL,2025-10-24,2025-10-24,3032.60009765625,2025-10-31,2908.10009765625,-0.04105387983605884,-41.05387983605884,1000.0,
SYRMA,2025-10-27,2025-10-27,754.9500122070312,2025-11-03,790.5499877929688,0.047155407656546744,47.15540765654674,1000.0,
GAYAHWS,2025-10-27,2025-10-27,2.9100000858306885,2025-11-03,3.690000057220459,0.2680412193758103,268.04121937581033,1000.0,
SILVERIETF,2025-10-28,2025-10-28,139.49000549316406,2025-11-04,145.9199981689453,0.046096440049938646,46.09644004993864,1000.0,
